"CustomerID","CustomerName","ZipCode"
"C0233","Customer 233","10113"
"C0234","Customer 234","10114"
"C0235","Customer 235","10115"
"C0236","Customer 236","10116"
"C0237","Customer 237","10117"
"C0238","Customer 238","10118"
"C0239","Customer 239","10119"
"C0240","Customer 240","10120"
"C0241","Customer 241","10001"
"C0242","Customer 242","10002"
"C0243","Customer 243","10003"
"C0244","Customer 244","10004"
"C0245","Customer 245","10005"
"C0246","Customer 246","10006"
"C0247","Customer 247","10007"
"C0248","Customer 248","10008"
"C0249","Customer 249","10009"
"C0250","Customer 250","10010"
"C0251","Customer 251","10011"
"C0252","Customer 252","10012"
"C0253","Customer 253","10013"
"C0254","Customer 254","10014"
"C0255","Customer 255","10015"
"C0256","Customer 256","10016"
"C0257","Customer 257","10017"
"C0258","Customer 258","10018"
"C0259","Customer 259","10019"
"C0260","Customer 260","10020"
"C0261","Customer 261","10021"
"C0262","Customer 262","10022"
"C0263","Customer 263","10023"
"C0264","Customer 264","10024"
"C0265","Customer 265","10025"
"C0266","Customer 266","10026"
"C0267","Customer 267","10027"
"C0268","Customer 268","10028"
"C0269","Customer 269","10029"
"C0270","Customer 270","10030"
"C0271","Customer 271","10031"
"C0272","Customer 272","10032"
"C0273","Customer 273","10033"
"C0274","Customer 274","10034"
"C0275","Customer 275","10035"
"C0276","Customer 276","10036"
"C0277","Customer 277","10037"
"C0278","Customer 278","10038"
"C0279","Customer 279","10039"
"C0280","Customer 280","10040"
"C0281","Customer 281","10041"
"C0282","Customer 282","10042"
"C0283","Customer 283","10043"
"C0284","Customer 284","10044"
"C0285","Customer 285","10045"
"C0286","Customer 286","10046"
"C0287","Customer 287","10047"
"C0288","Customer 288","10048"
"C0289","Customer 289","10049"
"C0290","Customer 290","10050"
"C0291","Customer 291","10051"
"C0292","Customer 292","10052"
"C0293","Customer 293","10053"
"C0294","Customer 294","10054"
"C0295","Customer 295","10055"
"C0296","Customer 296","10056"
"C0297","Customer 297","10057"
"C0298","Customer 298","10058"
"C0299","Customer 299","10059"
"C0300","Customer 300","10060"
"C0301","Customer 301","10061"
"C0302","Customer 302","10062"
"C0303","Customer 303","10063"
"C0304","Customer 304","10064"
"C0305","Customer 305","10065"
"C0306","Customer 306","10066"
"C0307","Customer 307","10067"
"C0308","Customer 308","10068"
"C0309","Customer 309","10069"
"C0310","Customer 310","10070"
"C0311","Customer 311","10071"
"C0312","Customer 312","10072"
"C0313","Customer 313","10073"
"C0314","Customer 314","10074"
"C0315","Customer 315","10075"
"C0316","Customer 316","10076"
"C0317","Customer 317","10077"
"C0318","Customer 318","10078"
"C0319","Customer 319","10079"
"C0320","Customer 320","10080"
"C0321","Customer 321","10081"
"C0322","Customer 322","10082"
"C0323","Customer 323","10083"
"C0324","Customer 324","10084"
"C0325","Customer 325","10085"
"C0326","Customer 326","10086"
"C0327","Customer 327","10087"
"C0328","Customer 328","10088"
"C0329","Customer 329","10089"
"C0330","Customer 330","10090"
"C0331","Customer 331","10091"
"C0332","Customer 332","10092"
"C0333","Customer 333","10093"
"C0334","Customer 334","10094"
"C0335","Customer 335","10095"
"C0336","Customer 336","10096"
"C0337","Customer 337","10097"
"C0338","Customer 338","10098"
"C0339","Customer 339","10099"
"C0340","Customer 340","10100"
"C0341","Customer 341","10101"
"C0342","Customer 342","10102"
"C0343","Customer 343","10103"
"C0344","Customer 344","10104"
"C0345","Customer 345","10105"
"C0346","Customer 346","10106"
"C0347","Customer 347","10107"
"C0348","Customer 348","10108"
"C0349","Customer 349","10109"
"C0350","Customer 350","10110"
"C0351","Customer 351","10111"
"C0352","Customer 352","10112"
"C0353","Customer 353","10113"
"C0354","Customer 354","10114"
"C0355","Customer 355","10115"
"C0356","Customer 356","10116"
"C0357","Customer 357","10117"
"C0358","Customer 358","10118"
"C0359","Customer 359","10119"
"C0360","Customer 360","10120"
"C0361","Customer 361","10001"
"C0362","Customer 362","10002"
"C0363","Customer 363","10003"
"C0364","Customer 364","10004"
"C0365","Customer 365","10005"
"C0366","Customer 366","10006"
"C0367","Customer 367","10007"
"C0368","Customer 368","10008"
"C0369","Customer 369","10009"
"C0370","Customer 370","10010"
"C0371","Customer 371","10011"
"C0372","Customer 372","10012"
"C0373","Customer 373","10013"
"C0374","Customer 374","10014"
"C0375","Customer 375","10015"
"C0376","Customer 376","10016"
"C0377","Customer 377","10017"
"C0378","Customer 378","10018"
"C0379","Customer 379","10019"
"C0380","Customer 380","10020"
"C0381","Customer 381","10021"
"C0382","Customer 382","10022"
"C0383","Customer 383","10023"
"C0384","Customer 384","10024"
"C0385","Customer 385","10025"
"C0386","Customer 386","10026"
"C0387","Customer 387","10027"
"C0388","Customer 388","10028"
"C0389","Customer 389","10029"
"C0390","Customer 390","10030"
"C0391","Customer 391","10031"
"C0392","Customer 392","10032"
"C0393","Customer 393","10033"
"C0394","Customer 394","10034"
"C0395","Customer 395","10035"
"C0396","Customer 396","10036"
"C0397","Customer 397","10037"
"C0398","Customer 398","10038"
"C0399","Customer 399","10039"
"C0400","Customer 400","10040"
"C0401","Customer 401","10041"
"C0402","Customer 402","10042"
"C0403","Customer 403","10043"
"C0404","Customer 404","10044"
"C0405","Customer 405","10045"
"C0406","Customer 406","10046"
"C0407","Customer 407","10047"
"C0408","Customer 408","10048"
"C0409","Customer 409","10049"
"C0410","Customer 410","10050"
"C0411","Customer 411","10051"
"C0412","Customer 412","10052"
"C0413","Customer 413","10053"
"C0414","Customer 414","10054"
"C0415","Customer 415","10055"
"C0416","Customer 416","10056"
"C0417","Customer 417","10057"
"C0418","Customer 418","10058"
"C0419","Customer 419","10059"
"C0420","Customer 420","10060"
"C0421","Customer 421","10061"
"C0422","Customer 422","10062"
"C0423","Customer 423","10063"
"C0424","Customer 424","10064"
"C0425","Customer 425","10065"
"C0426","Customer 426","10066"
"C0427","Customer 427","10067"
"C0428","Customer 428","10068"
"C0429","Customer 429","10069"
"C0430","Customer 430","10070"
"C0431","Customer 431","10071"
"C0432","Customer 432","10072"
"C0433","Customer 433","10073"
"C0434","Customer 434","10074"
"C0435","Customer 435","10075"
"C0436","Customer 436","10076"
"C0437","Customer 437","10077"
"C0438","Customer 438","10078"
"C0439","Customer 439","10079"
"C0440","Customer 440","10080"
"C0441","Customer 441","10081"
"C0442","Customer 442","10082"
"C0443","Customer 443","10083"
"C0444","Customer 444","10084"
"C0445","Customer 445","10085"
"C0446","Customer 446","10086"
"C0447","Customer 447","10087"
"C0448","Customer 448","10088"
"C0449","Customer 449","10089"
"C0450","Customer 450","10090"
"C0451","Customer 451","10091"
"C0452","Customer 452","10092"
"C0453","Customer 453","10093"
"C0454","Customer 454","10094"
"C0455","Customer 455","10095"
"C0456","Customer 456","10096"
"C0457","Customer 457","10097"
"C0458","Customer 458","10098"
"C0459","Customer 459","10099"
"C0460","Customer 460","10100"
"C0461","Customer 461","10101"
"C0462","Customer 462","10102"
"C0463","Customer 463","10103"
"C0464","Customer 464","10104"
"C0465","Customer 465","10105"
"C0466","Customer 466","10106"
"C0467","Customer 467","10107"
"C0468","Customer 468","10108"
"C0469","Customer 469","10109"
"C0470","Customer 470","10110"
"C0471","Customer 471","10111"
"C0472","Customer 472","10112"
"C0473","Customer 473","10113"
"C0474","Customer 474","10114"
"C0475","Customer 475","10115"
"C0476","Customer 476","10116"
"C0477","Customer 477","10117"
"C0478","Customer 478","10118"
"C0479","Customer 479","10119"
"C0480","Customer 480","10120"
"C0481","Customer 481","10001"
"C0482","Customer 482","10002"
"C0483","Customer 483","10003"
"C0484","Customer 484","10004"
"C0485","Customer 485","10005"
"C0486","Customer 486","10006"
"C0487","Customer 487","10007"
"C0488","Customer 488","10008"
"C0489","Customer 489","10009"
"C0490","Customer 490","10010"
"C0491","Customer 491","10011"
"C0492","Customer 492","10012"
"C0493","Customer 493","10013"
"C0494","Customer 494","10014"
"C0495","Customer 495","10015"
"C0496","Customer 496","10016"
"C0497","Customer 497","10017"
"C0498","Customer 498","10018"
"C0499","Customer 499","10019"
"C0500","Customer 500","10020"
"C0501","Customer 501","10021"
"C0502","Customer 502","10022"
"C0503","Customer 503","10023"
"C0504","Customer 504","10024"
"C0505","Customer 505","10025"
"C0506","Customer 506","10026"
"C0507","Customer 507","10027"
"C0508","Customer 508","10028"
"C0509","Customer 509","10029"
"C0510","Customer 510","10030"
"C0511","Customer 511","10031"
"C0512","Customer 512","10032"
"C0513","Customer 513","10033"
"C0514","Customer 514","10034"
"C0515","Customer 515","10035"
"C0516","Customer 516","10036"
"C0517","Customer 517","10037"
"C0518","Customer 518","10038"
"C0519","Customer 519","10039"
"C0520","Customer 520","10040"
"C0521","Customer 521","10041"
"C0522","Customer 522","10042"
"C0523","Customer 523","10043"
"C0524","Customer 524","10044"
"C0525","Customer 525","10045"
"C0526","Customer 526","10046"
"C0527","Customer 527","10047"
"C0528","Customer 528","10048"
"C0529","Customer 529","10049"
"C0530","Customer 530","10050"
"C0531","Customer 531","10051"
"C0532","Customer 532","10052"
"C0533","Customer 533","10053"
"C0534","Customer 534","10054"
"C0535","Customer 535","10055"
"C0536","Customer 536","10056"
"C0537","Customer 537","10057"
"C0538","Customer 538","10058"
"C0539","Customer 539","10059"
"C0540","Customer 540","10060"
"C0541","Customer 541","10061"
"C0542","Customer 542","10062"
"C0543","Customer 543","10063"
"C0544","Customer 544","10064"
"C0545","Customer 545","10065"
"C0546","Customer 546","10066"
"C0547","Customer 547","10067"
"C0548","Customer 548","10068"
"C0549","Customer 549","10069"
"C0550","Customer 550","10070"
"C0551","Customer 551","10071"
"C0552","Customer 552","10072"
"C0553","Customer 553","10073"
"C0554","Customer 554","10074"
"C0555","Customer 555","10075"
"C0556","Customer 556","10076"
"C0557","Customer 557","10077"
"C0558","Customer 558","10078"
"C0559","Customer 559","10079"
"C0560","Customer 560","10080"
"C0561","Customer 561","10081"
"C0562","Customer 562","10082"
"C0563","Customer 563","10083"
"C0564","Customer 564","10084"
"C0565","Customer 565","10085"
"C0566","Customer 566","10086"
"C0567","Customer 567","10087"
"C0568","Customer 568","10088"
"C0569","Customer 569","10089"
"C0570","Customer 570","10090"
"C0571","Customer 571","10091"
"C0572","Customer 572","10092"
"C0573","Customer 573","10093"
"C0574","Customer 574","10094"
"C0575","Customer 575","10095"
"C0576","Customer 576","10096"
"C0577","Customer 577","10097"
"C0578","Customer 578","10098"
"C0579","Customer 579","10099"
"C0580","Customer 580","10100"
"C0581","Customer 581","10101"
"C0582","Customer 582","10102"
"C0583","Customer 583","10103"
"C0584","Customer 584","10104"
"C0585","Customer 585","10105"
"C0586","Customer 586","10106"
"C0587","Customer 587","10107"
"C0588","Customer 588","10108"
"C0589","Customer 589","10109"
"C0590","Customer 590","10110"
"C0591","Customer 591","10111"
"C0592","Customer 592","10112"
"C0593","Customer 593","10113"
"C0594","Customer 594","10114"
"C0595","Customer 595","10115"
"C0596","Customer 596","10116"
"C0597","Customer 597","10117"
"C0598","Customer 598","10118"
"C0599","Customer 599","10119"
"C0600","Customer 600","10120"
