"OrderID","Date","Region","City","Category","Product","CustomerSegment","Channel","Sales","COGS","Profit","Quantity","Discount","Rating"
"O0066","2025-08-18","North","River Town","Accessories","Mug","Small Business","Store","34","16","18","4","0.15","2"
"O0067","2025-06-26","North","Maple City","Beverages","Coffee","Consumer","Online","45.6","18","27.6","6","0.05","2"
"O0068","2025-11-22","South","Maple City","Beverages","Tea","Small Business","Online","10.8","4","6.8","2","0.1","5"
"O0069","2025-09-03","East","Sunnyvale","Food","Sandwich","Corporate","Online","12","6","6","1","0","3"
"O0070","2025-02-15","North","Sunnyvale","Food","Muffin","Consumer","Online","34","16","18","8","0.15","2"
"O0071","2025-02-26","North","Lakeside","Accessories","Bottle","Small Business","Online","15","7","8","1","0","1"
"O0072","2025-07-27","West","Hillview","Accessories","Mug","Small Business","Store","45","20","25","5","0.1","1"
"O0073","2025-02-09","East","Sunnyvale","Beverages","Coffee","Corporate","Online","60.8","24","36.8","8","0.05","5"
"O0074","2025-03-06","East","Maple City","Beverages","Tea","Consumer","Online","10.8","4","6.8","2","0.1","5"
"O0075","2025-11-19","West","River Town","Food","Sandwich","Corporate","Online","60","30","30","5","0","3"
"O0076","2025-02-22","North","Sunnyvale","Food","Muffin","Small Business","Online","28.5","12","16.5","6","0.05","3"
"O0077","2025-09-12","North","Cedar Point","Accessories","Bottle","Consumer","Online","45","21","24","3","0","2"
"O0078","2025-01-14","West","Maple City","Accessories","Mug","Consumer","Online","57","24","33","6","0.05","3"
"O0079","2025-04-06","West","Cedar Point","Beverages","Coffee","Small Business","Store","27.2","12","15.2","4","0.15","1"
"O0080","2025-05-31","South","Cedar Point","Beverages","Tea","Consumer","Store","6","2","4","1","0","4"
"O0081","2025-01-03","West","Sunnyvale","Food","Sandwich","Small Business","Online","48","24","24","4","0","3"
"O0082","2025-09-29","North","Sunnyvale","Food","Muffin","Consumer","Online","27","12","15","6","0.1","3"
"O0083","2025-01-04","East","Lakeside","Accessories","Bottle","Corporate","Store","54","28","26","4","0.1","4"
"O0084","2025-07-16","East","Lakeside","Accessories","Mug","Corporate","Store","20","8","12","2","0","2"
"O0085","2025-11-18","East","Hillview","Beverages","Coffee","Consumer","Store","40","15","25","5","0","5"
"O0086","2025-02-02","East","Hillview","Beverages","Tea","Consumer","Online","39.9","14","25.9","7","0.05","5"
"O0087","2025-12-28","West","Lakeside","Food","Sandwich","Corporate","Online","71.4","42","29.4","7","0.15","3"
"O0088","2025-10-04","West","Sunnyvale","Food","Muffin","Corporate","Store","20","8","12","4","0","4"
"O0089","2025-10-17","North","Lakeside","Accessories","Bottle","Small Business","Online","12.75","7","5.75","1","0.15","3"
"O0090","2025-02-20","North","Hillview","Accessories","Mug","Small Business","Online","9","4","5","1","0.1","1"
"O0091","2025-09-21","East","Sunnyvale","Beverages","Coffee","Small Business","Store","7.2","3","4.2","1","0.1","5"
"O0092","2025-05-12","South","River Town","Beverages","Tea","Corporate","Online","48","16","32","8","0","1"
"O0093","2025-08-10","North","Sunnyvale","Food","Sandwich","Consumer","Online","40.8","24","16.8","4","0.15","2"
"O0094","2025-12-17","West","Lakeside","Food","Muffin","Consumer","Online","31.5","14","17.5","7","0.1","4"
"O0095","2025-03-16","East","Sunnyvale","Accessories","Bottle","Consumer","Store","94.5","49","45.5","7","0.1","3"
"O0096","2025-05-14","West","Maple City","Accessories","Mug","Corporate","Online","9.5","4","5.5","1","0.05","2"
"O0097","2025-08-31","East","Lakeside","Beverages","Coffee","Corporate","Online","48","18","30","6","0","4"
"O0098","2025-06-22","West","Lakeside","Beverages","Tea","Corporate","Online","17.1","6","11.1","3","0.05","5"
"O0099","2025-07-04","East","Maple City","Food","Sandwich","Corporate","Online","21.6","12","9.6","2","0.1","1"
"O0100","2025-09-02","South","Hillview","Food","Muffin","Corporate","Online","36","16","20","8","0.1","1"
"O0101","2025-05-31","South","Hillview","Accessories","Bottle","Small Business","Online","40.5","21","19.5","3","0.1","1"
"O0102","2025-07-05","West","Hillview","Accessories","Mug","Consumer","Store","50","20","30","5","0","2"
"O0103","2025-05-09","North","Maple City","Beverages","Coffee","Corporate","Online","8","3","5","1","0","5"
"O0104","2025-02-03","East","River Town","Beverages","Tea","Small Business","Online","43.2","16","27.2","8","0.1","2"
"O0105","2025-01-23","North","Hillview","Food","Sandwich","Corporate","Online","21.6","12","9.6","2","0.1","4"
"O0106","2025-01-16","West","Sunnyvale","Food","Muffin","Small Business","Store","22.5","10","12.5","5","0.1","4"
"O0107","2025-05-27","East","Cedar Point","Accessories","Bottle","Corporate","Online","90","42","48","6","0","4"
"O0108","2025-11-07","South","Cedar Point","Accessories","Mug","Consumer","Store","38","16","22","4","0.05","1"
"O0109","2025-09-24","South","Maple City","Beverages","Coffee","Corporate","Store","53.2","21","32.2","7","0.05","2"
"O0110","2025-07-22","West","Cedar Point","Beverages","Tea","Consumer","Store","28.5","10","18.5","5","0.05","2"
"O0111","2025-01-26","South","Sunnyvale","Food","Sandwich","Corporate","Store","72","36","36","6","0","2"
"O0112","2025-01-04","East","Hillview","Food","Muffin","Small Business","Online","22.5","10","12.5","5","0.1","3"
"O0113","2025-06-24","South","River Town","Accessories","Bottle","Consumer","Store","76.5","42","34.5","6","0.15","5"
"O0114","2025-04-18","West","Maple City","Accessories","Mug","Small Business","Store","19","8","11","2","0.05","2"
"O0115","2025-08-24","North","Lakeside","Beverages","Coffee","Corporate","Online","40","15","25","5","0","5"
"O0116","2025-08-04","North","Maple City","Beverages","Tea","Corporate","Store","48","16","32","8","0","1"
"O0117","2025-01-10","West","Sunnyvale","Food","Sandwich","Small Business","Online","45.6","24","21.6","4","0.05","4"
"O0118","2025-06-27","West","Maple City","Food","Muffin","Consumer","Online","22.5","10","12.5","5","0.1","5"
"O0119","2025-05-04","South","Hillview","Accessories","Bottle","Small Business","Store","85.5","42","43.5","6","0.05","5"
"O0120","2025-02-26","East","Sunnyvale","Accessories","Mug","Corporate","Store","38","16","22","4","0.05","2"
"O0121","2025-09-27","West","Cedar Point","Beverages","Coffee","Corporate","Online","34","15","19","5","0.15","2"
"O0122","2025-02-26","North","Sunnyvale","Beverages","Tea","Corporate","Store","5.7","2","3.7","1","0.05","4"
"O0123","2025-10-07","West","Hillview","Food","Sandwich","Small Business","Store","12","6","6","1","0","5"
"O0124","2025-08-01","East","Cedar Point","Food","Muffin","Corporate","Store","25","10","15","5","0","4"
"O0125","2025-04-17","West","Hillview","Accessories","Bottle","Small Business","Online","85.5","42","43.5","6","0.05","5"
"O0126","2025-01-04","South","River Town","Accessories","Mug","Small Business","Store","80","32","48","8","0","4"
"O0127","2025-09-06","North","Maple City","Beverages","Coffee","Consumer","Store","27.2","12","15.2","4","0.15","1"
"O0128","2025-09-02","North","River Town","Beverages","Tea","Corporate","Online","10.2","4","6.2","2","0.15","1"
"O0129","2025-06-18","South","Sunnyvale","Food","Sandwich","Small Business","Online","64.8","36","28.8","6","0.1","4"
"O0130","2025-04-02","West","River Town","Food","Muffin","Small Business","Store","34","16","18","8","0.15","5"
"O0131","2025-11-14","North","Cedar Point","Accessories","Bottle","Consumer","Store","12.75","7","5.75","1","0.15","4"
"O0132","2025-06-18","North","River Town","Accessories","Mug","Small Business","Store","42.5","20","22.5","5","0.15","1"
"O0133","2025-10-17","South","River Town","Beverages","Coffee","Small Business","Store","56","21","35","7","0","5"
"O0134","2025-03-16","West","River Town","Beverages","Tea","Small Business","Store","32.4","12","20.4","6","0.1","4"
"O0135","2025-04-25","East","Lakeside","Food","Sandwich","Small Business","Online","34.2","18","16.2","3","0.05","3"
"O0136","2025-12-05","West","Lakeside","Food","Muffin","Corporate","Online","36","16","20","8","0.1","2"
"O0137","2025-12-23","South","River Town","Accessories","Bottle","Corporate","Store","27","14","13","2","0.1","4"
"O0138","2025-03-28","North","River Town","Accessories","Mug","Consumer","Store","9.5","4","5.5","1","0.05","5"
"O0139","2025-12-05","North","Maple City","Beverages","Coffee","Small Business","Store","7.6","3","4.6","1","0.05","2"
"O0140","2025-07-21","West","Lakeside","Beverages","Tea","Corporate","Online","35.7","14","21.7","7","0.15","5"
"O0141","2025-08-21","North","River Town","Food","Sandwich","Corporate","Online","10.8","6","4.8","1","0.1","3"
"O0142","2025-05-04","North","Hillview","Food","Muffin","Consumer","Online","21.25","10","11.25","5","0.15","4"
"O0143","2025-01-31","West","Lakeside","Accessories","Bottle","Small Business","Online","25.5","14","11.5","2","0.15","4"
"O0144","2025-06-14","North","Maple City","Accessories","Mug","Consumer","Store","10","4","6","1","0","2"
"O0145","2025-10-02","North","River Town","Beverages","Coffee","Corporate","Store","64","24","40","8","0","1"
"O0146","2025-01-23","South","River Town","Beverages","Tea","Consumer","Store","40.8","16","24.8","8","0.15","4"
"O0147","2025-10-11","South","Maple City","Food","Sandwich","Consumer","Online","48","24","24","4","0","4"
"O0148","2025-02-08","East","Cedar Point","Food","Muffin","Consumer","Online","14.25","6","8.25","3","0.05","3"
"O0149","2025-03-07","South","Sunnyvale","Accessories","Bottle","Small Business","Online","12.75","7","5.75","1","0.15","2"
"O0150","2025-10-21","North","River Town","Accessories","Mug","Consumer","Online","9","4","5","1","0.1","5"
"O0151","2025-12-05","West","Cedar Point","Beverages","Coffee","Consumer","Online","15.2","6","9.2","2","0.05","4"
"O0152","2025-11-12","South","River Town","Beverages","Tea","Corporate","Online","37.8","14","23.8","7","0.1","5"
"O0153","2025-04-05","North","Sunnyvale","Food","Sandwich","Corporate","Store","40.8","24","16.8","4","0.15","5"
"O0154","2025-05-01","East","Maple City","Food","Muffin","Small Business","Online","30","12","18","6","0","2"
"O0155","2025-04-21","West","Maple City","Accessories","Bottle","Small Business","Store","102","56","46","8","0.15","5"
"O0156","2025-06-16","South","Maple City","Accessories","Mug","Small Business","Online","54","24","30","6","0.1","2"
"O0157","2025-05-07","South","Maple City","Beverages","Coffee","Consumer","Store","16","6","10","2","0","2"
"O0158","2025-08-21","North","Hillview","Beverages","Tea","Corporate","Store","30.6","12","18.6","6","0.15","2"
"O0159","2025-07-10","West","Cedar Point","Food","Sandwich","Consumer","Store","12","6","6","1","0","5"
"O0160","2025-03-11","East","Hillview","Food","Muffin","Consumer","Store","4.75","2","2.75","1","0.05","1"
"O0161","2025-12-29","North","River Town","Accessories","Bottle","Consumer","Online","14.25","7","7.25","1","0.05","4"
"O0162","2025-01-19","East","River Town","Accessories","Mug","Consumer","Online","63","28","35","7","0.1","5"
"O0163","2025-12-21","South","Lakeside","Beverages","Coffee","Small Business","Store","8","3","5","1","0","1"
"O0164","2025-10-29","South","Cedar Point","Beverages","Tea","Corporate","Store","11.4","4","7.4","2","0.05","3"
"O0165","2025-02-26","East","Cedar Point","Food","Sandwich","Small Business","Online","24","12","12","2","0","1"
"O0166","2025-02-27","West","Lakeside","Food","Muffin","Corporate","Store","4.75","2","2.75","1","0.05","5"
"O0167","2025-04-04","North","Sunnyvale","Accessories","Bottle","Corporate","Store","108","56","52","8","0.1","3"
"O0168","2025-10-17","West","Cedar Point","Accessories","Mug","Consumer","Store","60","24","36","6","0","5"
"O0169","2025-02-19","West","Lakeside","Beverages","Coffee","Consumer","Online","40","15","25","5","0","3"
"O0170","2025-05-04","West","Cedar Point","Beverages","Tea","Small Business","Store","5.7","2","3.7","1","0.05","2"
"O0171","2025-01-06","West","Cedar Point","Food","Sandwich","Corporate","Store","57","30","27","5","0.05","2"
"O0172","2025-10-18","South","Cedar Point","Food","Muffin","Consumer","Online","21.25","10","11.25","5","0.15","4"
"O0173","2025-06-08","East","Sunnyvale","Accessories","Bottle","Small Business","Online","38.25","21","17.25","3","0.15","4"
"O0174","2025-07-20","North","Sunnyvale","Accessories","Mug","Consumer","Store","54","24","30","6","0.1","1"
"O0175","2025-06-20","North","Hillview","Beverages","Coffee","Corporate","Online","30.4","12","18.4","4","0.05","5"
"O0176","2025-08-14","East","Cedar Point","Beverages","Tea","Consumer","Store","27","10","17","5","0.1","5"
"O0177","2025-11-27","North","Sunnyvale","Food","Sandwich","Consumer","Online","22.8","12","10.8","2","0.05","5"
"O0178","2025-01-17","South","Lakeside","Food","Muffin","Consumer","Online","40","16","24","8","0","2"
"O0179","2025-05-13","South","Maple City","Accessories","Bottle","Corporate","Online","14.25","7","7.25","1","0.05","2"
"O0180","2025-05-06","West","Maple City","Accessories","Mug","Corporate","Online","45","20","25","5","0.1","3"
"O0181","2025-08-15","South","Maple City","Beverages","Coffee","Corporate","Online","60.8","24","36.8","8","0.05","2"
"O0182","2025-05-05","South","Lakeside","Beverages","Tea","Consumer","Online","6","2","4","1","0","3"
"O0183","2025-05-30","East","Sunnyvale","Food","Sandwich","Consumer","Store","34.2","18","16.2","3","0.05","3"
"O0184","2025-03-13","South","River Town","Food","Muffin","Consumer","Store","4.25","2","2.25","1","0.15","2"
"O0185","2025-04-09","North","Lakeside","Accessories","Bottle","Corporate","Online","12.75","7","5.75","1","0.15","1"
"O0186","2025-11-09","South","River Town","Accessories","Mug","Corporate","Store","8.5","4","4.5","1","0.15","2"
"O0187","2025-10-05","North","River Town","Beverages","Coffee","Corporate","Online","30.4","12","18.4","4","0.05","4"
"O0188","2025-05-05","East","Lakeside","Beverages","Tea","Consumer","Online","25.5","10","15.5","5","0.15","1"
"O0189","2025-08-21","South","Maple City","Food","Sandwich","Consumer","Store","34.2","18","16.2","3","0.05","3"
"O0190","2025-12-28","South","Maple City","Food","Muffin","Corporate","Online","4.75","2","2.75","1","0.05","1"
"O0191","2025-12-04","West","Sunnyvale","Accessories","Bottle","Consumer","Online","15","7","8","1","0","2"
"O0192","2025-08-19","West","River Town","Accessories","Mug","Corporate","Online","38","16","22","4","0.05","5"
"O0193","2025-12-19","East","Lakeside","Beverages","Coffee","Consumer","Online","56","21","35","7","0","3"
"O0194","2025-10-16","East","River Town","Beverages","Tea","Small Business","Store","16.2","6","10.2","3","0.1","3"
"O0195","2025-08-15","North","River Town","Food","Sandwich","Consumer","Online","79.8","42","37.8","7","0.05","1"
"O0196","2025-09-21","North","River Town","Food","Muffin","Consumer","Online","15","6","9","3","0","2"
"O0197","2025-10-22","North","Hillview","Accessories","Bottle","Consumer","Store","114","56","58","8","0.05","1"
"O0198","2025-05-08","East","Hillview","Accessories","Mug","Consumer","Online","66.5","28","38.5","7","0.05","1"
"O0199","2025-09-28","West","Lakeside","Beverages","Coffee","Corporate","Store","56","21","35","7","0","3"
"O0200","2025-07-16","East","Sunnyvale","Beverages","Tea","Small Business","Online","5.7","2","3.7","1","0.05","1"
"O0201","2025-10-16","West","River Town","Food","Sandwich","Corporate","Online","22.8","12","10.8","2","0.05","3"
"O0202","2025-12-30","West","Lakeside","Food","Muffin","Corporate","Store","35","14","21","7","0","1"
"O0203","2025-02-03","West","Hillview","Accessories","Bottle","Small Business","Store","120","56","64","8","0","1"
"O0204","2025-11-27","East","Lakeside","Accessories","Mug","Consumer","Online","72","32","40","8","0.1","2"
"O0205","2025-01-25","North","Hillview","Beverages","Coffee","Consumer","Store","14.4","6","8.4","2","0.1","5"
"O0206","2025-06-28","West","Maple City","Beverages","Tea","Small Business","Store","48","16","32","8","0","2"
"O0207","2025-10-05","East","Lakeside","Food","Sandwich","Consumer","Store","75.6","42","33.6","7","0.1","4"
"O0208","2025-08-12","West","Maple City","Food","Muffin","Consumer","Online","29.75","14","15.75","7","0.15","5"
"O0209","2025-02-18","West","Cedar Point","Accessories","Bottle","Small Business","Store","108","56","52","8","0.1","4"
"O0210","2025-04-01","North","Cedar Point","Accessories","Mug","Consumer","Online","34","16","18","4","0.15","2"
"O0211","2025-11-07","North","Hillview","Beverages","Coffee","Small Business","Store","53.2","21","32.2","7","0.05","1"
"O0212","2025-07-24","North","Hillview","Beverages","Tea","Consumer","Store","45.6","16","29.6","8","0.05","4"
"O0213","2025-07-12","East","Cedar Point","Food","Sandwich","Corporate","Store","24","12","12","2","0","2"
"O0214","2025-07-23","South","Sunnyvale","Food","Muffin","Consumer","Store","34","16","18","8","0.15","4"
"O0215","2025-09-07","West","River Town","Accessories","Bottle","Consumer","Online","94.5","49","45.5","7","0.1","3"
"O0216","2025-03-23","North","River Town","Accessories","Mug","Consumer","Online","59.5","28","31.5","7","0.15","2"
"O0217","2025-08-10","North","Lakeside","Beverages","Coffee","Small Business","Store","14.4","6","8.4","2","0.1","1"
"O0218","2025-09-07","West","Maple City","Beverages","Tea","Consumer","Online","35.7","14","21.7","7","0.15","4"
"O0219","2025-09-21","West","River Town","Food","Sandwich","Consumer","Online","54","30","24","5","0.1","5"
"O0220","2025-01-04","West","Lakeside","Food","Muffin","Small Business","Store","35","14","21","7","0","5"
"O0221","2025-05-25","South","River Town","Accessories","Bottle","Small Business","Online","60","28","32","4","0","2"
"O0222","2025-06-17","West","Hillview","Accessories","Mug","Small Business","Online","8.5","4","4.5","1","0.15","3"
"O0223","2025-10-06","East","Hillview","Beverages","Coffee","Corporate","Store","38","15","23","5","0.05","5"
"O0224","2025-07-29","West","Cedar Point","Beverages","Tea","Small Business","Online","12","4","8","2","0","3"
"O0225","2025-01-01","South","Cedar Point","Food","Sandwich","Corporate","Online","84","42","42","7","0","1"
"O0226","2025-07-01","East","River Town","Food","Muffin","Corporate","Store","19","8","11","4","0.05","1"
"O0227","2025-02-17","South","Cedar Point","Accessories","Bottle","Consumer","Online","75","35","40","5","0","4"
"O0228","2025-01-20","North","Lakeside","Accessories","Mug","Small Business","Store","9.5","4","5.5","1","0.05","3"
"O0229","2025-04-21","East","Hillview","Beverages","Coffee","Small Business","Store","22.8","9","13.8","3","0.05","5"
"O0230","2025-11-08","South","Maple City","Beverages","Tea","Small Business","Store","43.2","16","27.2","8","0.1","2"
"O0231","2025-06-30","North","Maple City","Food","Sandwich","Consumer","Store","54","30","24","5","0.1","4"
"O0232","2025-05-04","West","Lakeside","Food","Muffin","Small Business","Store","22.5","10","12.5","5","0.1","5"
"O0233","2025-10-20","North","River Town","Accessories","Bottle","Consumer","Store","120","56","64","8","0","1"
"O0234","2025-02-11","North","Sunnyvale","Accessories","Mug","Small Business","Store","36","16","20","4","0.1","3"
"O0235","2025-11-11","South","Lakeside","Beverages","Coffee","Consumer","Online","47.6","21","26.6","7","0.15","1"
"O0236","2025-10-27","West","Lakeside","Beverages","Tea","Small Business","Online","42","14","28","7","0","3"
"O0237","2025-01-16","West","Hillview","Food","Sandwich","Corporate","Store","91.2","48","43.2","8","0.05","2"
"O0238","2025-07-17","North","River Town","Food","Muffin","Small Business","Store","29.75","14","15.75","7","0.15","5"
"O0239","2025-07-10","East","Sunnyvale","Accessories","Bottle","Corporate","Online","99.75","49","50.75","7","0.05","5"
"O0240","2025-03-26","North","Lakeside","Accessories","Mug","Corporate","Store","50","20","30","5","0","1"
"O0241","2025-06-07","North","Cedar Point","Beverages","Coffee","Small Business","Online","14.4","6","8.4","2","0.1","5"
"O0242","2025-08-07","North","Maple City","Beverages","Tea","Corporate","Store","6","2","4","1","0","1"
"O0243","2025-03-08","West","Sunnyvale","Food","Sandwich","Corporate","Store","30.6","18","12.6","3","0.15","1"
"O0244","2025-04-06","East","Sunnyvale","Food","Muffin","Corporate","Store","5","2","3","1","0","5"
"O0245","2025-08-13","South","Hillview","Accessories","Bottle","Consumer","Online","38.25","21","17.25","3","0.15","2"
"O0246","2025-09-29","South","Cedar Point","Accessories","Mug","Corporate","Store","18","8","10","2","0.1","3"
"O0247","2025-09-08","West","Maple City","Beverages","Coffee","Small Business","Online","13.6","6","7.6","2","0.15","3"
"O0248","2025-08-18","South","Maple City","Beverages","Tea","Corporate","Online","48","16","32","8","0","2"
"O0249","2025-01-18","North","Lakeside","Food","Sandwich","Consumer","Store","48","24","24","4","0","1"
"O0250","2025-02-21","North","River Town","Food","Muffin","Corporate","Online","27","12","15","6","0.1","2"
"O0251","2025-12-13","North","Cedar Point","Accessories","Bottle","Consumer","Store","38.25","21","17.25","3","0.15","5"
"O0252","2025-05-27","East","Sunnyvale","Accessories","Mug","Small Business","Online","59.5","28","31.5","7","0.15","1"
"O0253","2025-08-20","South","Lakeside","Beverages","Coffee","Corporate","Store","48","18","30","6","0","5"
"O0254","2025-04-12","North","River Town","Beverages","Tea","Consumer","Online","10.2","4","6.2","2","0.15","1"
"O0255","2025-02-23","South","Sunnyvale","Food","Sandwich","Consumer","Online","72","36","36","6","0","2"
"O0256","2025-10-08","North","Lakeside","Food","Muffin","Consumer","Online","14.25","6","8.25","3","0.05","1"
"O0257","2025-02-03","South","Lakeside","Accessories","Bottle","Corporate","Store","76.5","42","34.5","6","0.15","3"
"O0258","2025-12-05","West","Maple City","Accessories","Mug","Small Business","Store","10","4","6","1","0","4"
"O0259","2025-11-26","West","River Town","Beverages","Coffee","Corporate","Online","50.4","21","29.4","7","0.1","4"
